Associated Gene Name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
Gm27353,9,73005201,73005322
Mir466f-2,2,10468675,10468768
Gm10570,4,130308162,130308674
Mpst,15,78406712,78414002
Gm23931,19,13604999,13605107
Mir544,12,109729325,109729402
Mir6925,11,70705990,70706059
Mir6918,11,4891345,4891402
Mir6373,6,102794384,102794485
Snord116l3,7,59892111,59892204
Gm25630,9,35474885,35475046
Gm23351,13,31427255,31427379
Vdac3-ps1,13,18030324,18031629
Mir19a,14,115044000,115044081
Gm10801,2,98662237,98664083
Ftl1-ps1,13,74406396,74407317
Snora33,10,23785347,23785475
Gm23787,12,109684962,109685034
Mir6359,18,88972030,88972110
Mir6927,11,97677060,97677130
Gm25791,9,15314845,15314981
Ncapg2,12,116405402,116463531
Gm22618,5,50290380,50290486
Gm22741,16,20745308,20745472
Mir7660,6,115775657,115775719
n-R5s158,7,128774846,128774963
Rpl9-ps4,13,72454762,72455340
E130208F15Rik,7,30321740,30323472
Gm23558,12,97371034,97371113
Mir300,12,109724313,109724391
Gm22083,X,8083992,8084093
Gm24031,14,26497655,26497785
Neurl1a,19,47178820,47259440
n-R5s6,X,49879307,49879394
Gm26439,11,86437310,86437415
Crhbp,13,95431371,95444831
Gm17333,16,77846693,77853020
Terc,3,96414437,96414859
Gm23956,15,30590287,30590405
Ighv1-13,12,114630680,114630973
Mir669l,2,10468971,10469068
Gm9837,11,53469749,53470479
Mir7651,11,6401630,6401693
Gm10228,16,89040921,89041452
Mir1932,11,119390472,119390561
AL645522.1,11,5038204,5038307
Gm24103,8,111041948,111042024
Gm24150,3,79196374,79196477
Gm25898,2,53274736,53274841
Snord49a,11,62603450,62603521
Mir26a-2,10,126995530,126995613
Gm27313,12,89298442,89298583
Mir509,X,68010105,68010179
Gm24812,X,87899205,87899488
Gm23159,4,76958422,76958498
Snord78,1,161036984,161037049
Gm26661,14,7791587,7792057
Gm24391,6,120524897,120524998
Gm27521,4,96917020,96917083
Gm24535,X,21901732,21901838
Mir691,16,74341990,74342067
Stc1,14,69029289,69041401
Gm27383,6,52263058,52263418
Gm25775,8,3099386,3099506
Gm10180,9,25101404,25101481
Gm10563,4,155614413,155645408
Gm23814,2,119793942,119794043
Gm25654,13,64296437,64296524
Mir5617,X,20863126,20863182
Gm25252,12,109723756,109723875
Gm25516,2,147874772,147874878
Snora69,X,37082912,37083042
Gm25387,11,27318847,27318978
Gm23652,14,78246205,78246311
Gm25699,16,73422793,73422959
Gm26272,9,42317550,42317681
Gm8973,15,99006056,99006370
Gm22680,19,8725341,8725409
Gm25263,2,10509885,10509984
Gm23149,2,78550508,78550737
Gm44381,11,24014655,24014759
Mir466b-1,2,10474219,10474300
Snora81,16,23110756,23110933
Gm25448,13,62791507,62791613
Gm26413,11,116163910,116164036
Gm23917,7,61733685,61733782
Gm26100,8,128771170,128771296
Spz1,13,92574631,92576232
Zswim6,13,107724618,107890064
Gm17449,13,66851847,66852017
Gm27435,17,85611676,85611763
Mir6947,14,29988888,29988952
Gm27373,9,21677913,21678096
Gm24696,15,61357871,61358004
Mir3070b,12,109588592,109588680
Gm23994,16,87761556,87761643
Polr2g,19,8793129,8798557
Gm26121,11,72881792,72881953
Gm27552,1,171072226,171072287
Gm22717,9,90315910,90316080
Ftl1-ps2,10,130592154,130592705
Gm26413,11,116163910,116164035
Gm24262,9,35144636,35144779
n-R5s5,X,18323444,18323562
Cyp2d11,15,82389154,82394022
Gm26398,2,10504647,10504773
Gm23017,9,88598348,88598419
Gm26065,X,20800332,20800436
Gm25295,9,18574613,18574918
Gm24920,3,95090625,95090709
Gm24109,3,87617399,87617501
Gm44325,2,120977651,120977727
Gm22145,9,67104208,67104355
Gm44375,13,69401248,69401397
Gm10428,11,62753100,62753498
Gm23303,4,148443334,148443485
Gm24179,10,126840375,126840501
Gm25571,4,139588876,139588977
Gm25677,4,9669279,9669350
Gm25922,7,34943856,34943985
Mir155,16,84714140,84714204
Gm22892,6,135740997,135741101
Mir7676-1,15,78284788,78284849
Gm24602,8,102523894,102523956
Gm23482,13,49714119,49714240
Gm26057,17,7374193,7374357
Gm23964,17,94764825,94764931
Gm17577,X,123246440,123246907
Gm22902,2,131413661,131413962
Mir200b,4,156055681,156055750
Mir466d,2,10511967,10512062
Gm22279,3,65525701,65525793
Gm23346,6,70855444,70855579
Gm22126,13,35662135,35662276
Gm23331,5,60500833,60500940
Gm23215,16,3249584,3249704
Pgam1,19,41911871,41918664
Gm25145,3,92061397,92061506
Gm27396,1,3783876,3783933
Gm25636,7,110023210,110023342
Scarna3a,1,159340283,159340422
H1f0,15,79028212,79030498
Mir6906,10,60126776,60126833
Gm23795,7,68952100,68952236
Esp8,17,40520022,40530702
Gm23210,16,92042677,92042774
Gm25227,1,15685935,15686046
Mir6393,15,87795850,87795943
Gm44494,3,127481120,127481248
Gm27410,10,45816747,45816861
Gm24542,12,101554079,101554188
Itga1,13,114958079,115101964
n-R5s118,8,123569328,123569446
Gm5045,15,59210908,59211720
Mir7078,8,117459265,117459328
1600017P15Rik,3,30595346,30595757
Mir3966,10,97423478,97423562
Mir7023,4,149655504,149655567
Mir3059,10,101772692,101772772
Gm22813,2,106809336,106809458
Gm25998,2,33362994,33363046
Mir3475,X,140310948,140311012
Gm23117,13,43872802,43872909
Gm22295,3,67055958,67056064
Gm23456,6,148642524,148642660
Gm25806,5,83690004,83690125
Gm26040,3,27868113,27868273
Gm10518,1,179803376,179804676
Gm24128,15,102456563,102456661
Snord1b,11,116674148,116674222
Rnu1b6,3,96460024,96460189
Gm27476,19,34750510,34750613
Gm22090,X,105020268,105020378
Gm19961,13,61799901,61800173
Gm22327,17,29984034,29984141
Gm23377,9,110121680,110121805
Gm27937,11,3646942,3647029
Gm25410,10,8824011,8824147
Mir705,6,85336292,85336373
Gm23061,19,17928111,17928226
Mir7018,4,137538286,137538370
Cdyl,13,35659862,35874064
Gm22276,6,7879563,7879691
Mir1956,3,138526421,138526485
Gm44409,18,10365908,10366073
Gm25226,X,73752674,73752796
Gm24679,18,66549935,66550045
Gm24574,2,75659244,75659317
Gm23229,7,118279861,118279965
Mir684-2,4,11134097,11134182
Gm22316,2,156386107,156386322
Gm22378,11,109499714,109499824
Fbxl15,19,46328184,46330446
Gm23030,8,46107259,46107531
Gm23615,X,73809417,73809481
Gm22068,11,87426716,87426879
Gm23087,7,11350450,11350525
Gm25864,14,21450474,21450565
Gm24163,13,75905147,75905278
Mir7239,11,46170087,46170143
Mir145a,18,61647825,61647894
Rn5s,8,123598158,123598276
Mir7240,8,70798135,70798192
Gm22790,12,105645843,105645971
Gm26457,1,63178677,63178754
Gm23649,17,72987798,72987904
Gm25316,2,10499966,10500083
Gm23042,7,66119303,66119403
Snhg7,2,26637847,26637985
Gm23130,10,23786470,23786543
Snord42b,11,78183056,78183124
Mir378c,14,46954830,46954928
Gm23953,7,59736313,59736406
Snord43,15,80082847,80082954
Scand1,2,156311847,156312704
Gm24010,12,76691980,76692261
Gm24416,X,135445519,135445632
Gm23782,1,137987657,137987776
Gm27554,X,98727315,98727412
n-R5s68,11,27085126,27085207
Mir350,1,176772325,176772423
Gm24451,2,130276237,130276369
Gm27905,6,6821129,6821335
Gm23658,19,24942236,24942367
Gm22945,10,104471051,104471207
Gm25049,17,30311079,30311151
Gm24915,13,46518684,46518761
Gm22032,15,17591566,17591681
Gm24584,3,83702252,83702358
Gm26247,7,44248090,44248180
Gm22174,2,163092899,163093023
Gm24083,9,108568295,108568414
Gm25658,10,97744757,97744884
AC145392.1,Y,991657,991716
Gm24697,4,69110671,69110777
Gm23796,3,39666288,39666447
Mir7005,2,180179755,180179823
Gm26055,12,95378845,95378951
Snord116l12,7,59904755,59904848
Gm23332,16,20445653,20445927
Gm22820,19,8681835,8682163
Mir328,8,105308364,105308460
Gm22739,10,4484234,4484393
Gm23967,5,64101430,64101507
Casp1,9,5298517,5307265
Gm26298,9,108653608,108653728
Gm23345,7,111947181,111947330
Gm23553,13,9109305,9109599
Gm24525,5,7177706,7177856
Gm23766,10,45095629,45095708
Mir6983,18,61117468,61117531
Gm22543,16,40306219,40306312
Gm24060,11,118180941,118181035
Fst,13,114452262,114458730
Gm24737,13,93956310,93956409
Gm26215,6,53010394,53010532
Gm25426,11,54829711,54829880
Mir6972,17,34857569,34857632
Gm26493,8,95746060,95746195
Mir183,6,30169668,30169737
Cxcl14,13,56288647,56296551
n-R5s70,11,72281016,72281131
n-R5s129,8,123587959,123588077
Mir1264,X,147010601,147010686
Gm27899,2,174286608,174286671
Gm24586,1,96266853,96266941
Mir193a,11,79711969,79712034
Gm23286,7,59561472,59561550
Gm27651,2,156860305,156860550
Gm27762,6,17693937,17694045
Gm27361,8,117546972,117547026
Gm26105,6,136281227,136281416
n-R5s195,3,39635964,39636082
Gm24979,17,45209966,45210091
Gm21959,13,76683982,76684398
Gm44479,15,101645144,101645259
Gm23839,10,21878784,21878892
Gm22690,4,16129566,16129675
n-R5s112,8,123559201,123559319
Mir1931,10,93162785,93162903
AC099760.1,8,9770728,9770880
Gm24726,10,7848361,7848481
Gm26236,2,32675109,32675245
Gm24685,12,56266920,56267204
Gm27646,4,138325980,138326089
Gm22938,9,76716628,76716747
Gm26243,10,79985506,79985612
Mir34b,9,51103562,51103645
Ear14,14,51203689,51204156
Gm23714,7,15695213,15695317
Gm25130,14,99360672,99360827
Gm22342,3,83634577,83634874
Mir3107,8,23142573,23142662
Gm23934,1,80135466,80135572
Gm44299,8,26219461,26219549
Gm23257,4,43692686,43692817
Bloc1s2,19,44139266,44146446
Gm44492,3,96220501,96220641
Ndufab1-ps,7,80507787,80508254
Gm24059,6,8439353,8439664
Gm22398,4,117158309,117158433
Gm22194,10,11940973,11941067
Gm25408,12,31057075,31057207
Mir6420,17,64440806,64440907
Gm25078,X,45795361,45795467
Mir5133,9,62122518,62122594
Gm17535,9,3034599,3035805
Gm23198,13,116675878,116675968
Gm24357,9,15315522,15315595
Gm25445,4,53720902,53721200
Gm22030,8,35977516,35977578
Rnu1a1,11,87422867,87423030
Gm24236,8,63108674,63108807
Gm23093,11,18738695,18738796
Gm9817,13,45078692,45081222
Gm22883,11,87318694,87318799
Gm22470,18,17034662,17034791
Gm27493,11,69505358,69505435
n-R5s165,6,112234163,112234262
Gm23050,17,13120531,13120695
Snord50b,9,88521797,88521868
Gm26186,4,121075798,121075922
Cbx3-ps1,13,65894209,65894745
Gm25703,2,129315329,129315479
Rps2-ps6,14,76236688,76237353
Gm22422,16,56035753,56035887
Gm26485,3,16823249,16823312
Vwa8,14,78849178,79202310
Mir1960,5,30170739,30170816
Gm22326,7,74962347,74962697
Gm25042,3,133431703,133431823
Gm23700,7,113666915,113667016
Gm22202,15,97935285,97935595
Gm23950,4,64444730,64444858
Gm25706,17,80196158,80196404
Gm22989,14,49788284,49788369
Mir6944,13,55477681,55477776
Gm23025,3,86191416,86191526
Mir7019,4,138316132,138316200
Gm25166,1,17520001,17520111
Mir7232,6,81895590,81895663
Gm22517,2,151123853,151123988
Gm24466,12,72130210,72130318
Mir6910,10,79862587,79862652
Gm25777,16,18240717,18240842
Mir7013,3,95004168,95004239
Gm16519,17,70929058,70929546
Gm25119,17,7042478,7042565
Gm22199,13,51014086,51014211
Mir219b,2,29845647,29845711
Gm25190,10,116531646,116531740
Gm25397,15,96404858,96404949
Gm22617,16,36789738,36789807
Gm23479,7,98935894,98936015
Gm25949,9,86699043,86699156
Gm25188,3,86100534,86100655
Gm25825,X,121308217,121308340
Gm22825,8,107842451,107842551
Gm27514,6,129189015,129189124
Mir7668,7,29906509,29906567
Gm25634,1,35761602,35761706
Mir30a,1,23272269,23272339
Mir6360,18,23774864,23774989
Mir130a,2,84741115,84741178
Gm22214,5,136096260,136096431
Gm24395,3,153864807,153864931
Mir6337,2,65364296,65364400
Gm27970,19,17056781,17057187
Gm25735,7,127191027,127191241
5730596B20Rik,6,52177498,52180851
Snord33,7,45126864,45126947
Gm23706,16,8480660,8480741
Gm23475,15,58143208,58143269
Gm25781,14,120798853,120798936
Gm23084,13,3648537,3648650
Gm25193,6,120797574,120797670
Gm25870,7,59619017,59619095
Gm26014,18,77682614,77682745
Gm25578,1,124490856,124490959
Gm27711,11,60302707,60302824
Gm22504,7,105642338,105642476
Gm25412,X,61938891,61938997
Gm25594,18,74910152,74910233
Gm24522,X,128700546,128700653
Mir466f-1,2,10466944,10467037
Gm27782,15,62080245,62080443
Mir697,4,124731694,124731802
Mir1968,8,13189031,13189098
Gm5449,13,53525703,53526059
Gm44363,5,22739019,22739111
Gm25631,13,105223269,105223398
Gm24285,10,57174030,57174129
Gm23302,14,118585039,118585138
Mir92b,3,89227116,89227198
Gm25874,7,59451115,59451193
Gm25365,9,12780165,12780285
Gm26392,7,59527771,59527849
Gm26250,4,13266985,13267050
Mir6970,17,34845101,34845167
Snord35a,7,45126346,45126435
Gm22599,11,58661178,58661309
Gm25808,13,102228669,102228952
Gm23780,1,184858138,184858412
Mir8112,6,71271671,71271801
Mir7115,11,70438255,70438318
n-R5s164,6,87281149,87281260
Gm22804,4,94487883,94487983
Gm26269,16,31982109,31982234
Gm25903,16,36438644,36438746
Gm24935,13,87456778,87456887
Gm24167,2,10489410,10489533
Gm24567,4,15819909,15820029
Gm23755,13,45294654,45294996
Mir1900,9,21032251,21032328
Mir463,X,66799223,66799297
Gm22622,6,59705746,59705874
Gm24283,8,121830436,121830542
Gm24249,7,88087188,88087251
Gm44486,13,22042545,22042682
Mir133c,2,29475215,29475294
Mir6383,X,136183245,136183360
Mir3104,7,141992179,141992241
Gm24538,5,29481525,29481631
Gm25515,10,4104313,4104469
Mir6926,11,74868127,74868194
Gm25140,16,37980087,37980226
Mir669m-2,2,10513434,10513531
Gm27517,11,3645286,3645521
Gm23048,9,19437687,19437815
Gm27520,X,103480946,103481026
Snord58b,18,75001058,75001123
Gm22330,13,31352980,31353094
Gm22679,1,29301480,29301579
AC124606.2,JH584299.1,806210,809281
Gm22951,15,99368029,99368135
Gm24934,8,3781020,3781130
Gm24570,7,59572707,59572785
n-R5s56,13,103396202,103396306
Gm23772,11,22846868,22846969
Gm24394,14,36612117,36612239
Gm23497,1,118681821,118681950
n-R5s3,X,13215698,13215809
Mir3960,2,32712900,32712972
Gm23664,10,127138529,127138617
Mir1947,16,33105361,33105445
Snora68,8,70895759,70895889
Gm24550,7,36751195,36751473
Gm25815,7,16953395,16953501
n-R5s149,8,123621928,123622046
Gm23801,5,29336780,29336846
Gm23023,10,3934769,3934877
Gm25320,5,89681916,89682239
Psd,19,46312087,46327156
Gm24317,4,15383148,15383254
Gm23187,2,130277195,130277280
Gm23389,1,94615636,94615704
Mir5103,1,34433121,34433199
Gm22876,14,31836884,31837181
Gm25416,7,142078331,142078437
Gm26386,6,24143368,24143468
Gm25976,15,20184832,20184961
Mir93,5,138165523,138165610
Gm25859,2,19934863,19934953
Gm26228,14,33644495,33644601
Gm25106,11,98473675,98473808
Gm23804,12,54714218,54714381
Mir27a,8,84208672,84208758
Gm23951,11,83366870,83367001
Gm26425,4,99909797,99909878
Gm23391,9,104994916,104995019
Gm24356,7,28123254,28123359
Gm26499,7,59377582,59377660
Gm23213,12,61867056,61867368
Mir434,12,109594506,109594599
n-R5s62,12,82150468,82150563
Gm22345,4,108537491,108537597
Mir5131,14,45657961,45658053
Mir710,8,64514332,64514441
Rnu1b2,3,96374021,96374185
Snord93,5,23852210,23852280
Gm23438,14,86920621,86920711
Gm24186,10,94821529,94821655
Gm23382,4,118164078,118164181
Gm24959,18,20844447,20844592
Gm24407,5,115490254,115490394
Gm25809,15,34288819,34288870
Gm23012,13,75691972,75692054
Mir7666,8,40307875,40307929
Snora35,X,146994381,146994508
Mir374c,X,103573085,103573133
Gm24630,5,150708044,150708149
Gm23904,8,86233854,86233977
Gm25245,16,91921309,91921415
Gm27337,15,102945359,102945427
Gm23282,13,22212419,22212519
Mir703,5,98475556,98475664
Gm24468,4,101186764,101186867
Gm22248,X,151384494,151384643
Gm24182,1,167349025,167349131
Gm22884,11,55482694,55482833
Mir7j,3,140028249,140028370
Gm25512,2,164601936,164602042
Gm24534,2,8472094,8472384
Mir383,8,38252133,38252202
DQ267102,12,109656345,109656416
Gm23614,7,122265094,122265200
Mir5119,11,98262606,98262662
Gm24999,13,60293672,60293772
Gm25894,19,8724251,8724325
Gm25424,7,108120470,108120527
Mir6961,15,100649163,100649229
Mir6973b,2,131040319,131040398
Mir6896,1,34117359,34117431
Gm24230,6,54974651,54974779
Gm22544,8,76021929,76022055
Gm23894,18,43761151,43761463
Gm23223,10,59195699,59195825
Gm25675,12,119919324,119919441
Gm24636,4,133171427,133171714
Gm23090,4,41213776,41213853
Mir6352,1,77496653,77496768
Gm23220,15,80458038,80458174
Mir7236,11,121387145,121387204
Mir6914,10,128382838,128382906
Mir7684,15,82393919,82393978
Mir7067,8,70895508,70895570
Gm26423,9,89158999,89159126
Gm24380,X,139654294,139654617
2410024N13Rik,3,103198226,103198975
Gm23618,7,59568964,59569042
Dnah1,14,31260375,31323896
Gm24949,11,96032678,96032892
Snord110,2,130275506,130275573
Gm22207,8,12356153,12356469
Mir6347,1,167290125,167290225
Mir3094,4,40993695,40993758
Gm24720,18,83355199,83355364
Gm26318,X,102255430,102255525
Gm23069,6,141714781,141715091
Gm24002,4,148539127,148539230
Gm22236,10,110904795,110904900
Gm25759,7,124146281,124146409
Ccdc105,10,78746924,78753067
Gm22180,4,136609806,136609864
Gm26356,5,25188361,25188643
Utp15,13,98246845,98262992
Gm22639,4,44865307,44865431
Gm22192,2,32221970,32222054
Mir2861,2,32712807,32712888
Snord66,16,20684239,20684313
Gm25442,3,35325614,35325705
Gm23234,6,100494681,100494814
Gm24599,19,11607389,11607438
Gm11116,5,88110567,88111530
Mir3080,15,82959218,82959296
Gm23000,X,66728415,66728553
Mir7055,7,45173303,45173361
Gm25471,7,59761554,59761647
Gm44498,9,18098152,18098262
Mir466c-2,2,10483966,10484055
Mir3971,11,75551429,75551511
Gm22893,6,85150336,85150451
Snora26,5,74093530,74093650
Gm22228,7,63585922,63586022
Gm22765,18,9614314,9614441
Gm23505,2,51493653,51493782
Mir465d,X,66822656,66822713
Gm26135,9,88857693,88857764
Pdzrn4,15,92396915,92771819
Gm24071,17,48617823,48617954
Snord12,2,167065276,167065365
Nanos1,19,60755987,60759913
Gm25660,18,58231472,58231575
Gm24913,4,132931211,132931317
Gm26111,X,64800511,64800616
Gm22334,2,155652892,155653024
Gm22587,11,85297452,85297749
Mir34a,4,150068454,150068555
Gm22711,11,106501243,106501377
Gm26274,9,20807034,20807354
Gm20721,2,174330319,174346712
Gm25336,1,154080095,154080199
Gdf7,12,8297934,8301954
Gm27989,3,45160695,45160801
Gm23579,12,69994790,69994892
Gm44477,X,94394818,94394927
Gm22170,12,13507862,13507968
Gm4938,13,104918779,104919186
Gm25270,4,133797582,133797719
Gm24414,7,11967150,11967256
Mmrn2,14,34375504,34404287
Gm26362,6,111992110,111992424
Gm27601,4,47593337,47593463
Gm24442,6,4382878,4383204
E2f6,12,16810965,16826743
Gm21775,Y,10553453,10553992
Mir7221,2,92592206,92592277
Gm24527,13,106780114,106780220
Mir466j,10,60960723,60960844
Gm25666,5,30514578,30514684
Gm22860,3,108567310,108567383
Gm26657,4,56740070,56741377
Gm26443,7,33808117,33808226
Gm24521,19,12665255,12665361
Mir297-1,7,10958437,10958512
Mir30c-1,4,120769534,120769622
Gm10184,17,89908511,89910449
Mir3061,11,52126746,52126836
Cyp1b1,17,79706953,79715041
Gm24412,7,97521808,97521916
Krtap19-9a,16,88924050,88924217
Gm21170,Y,47669242,47691098
Gm22518,4,45500485,45500552
AC153872.1,6,87981614,87981741
Gm23632,10,120974301,120974425
Gm9242,16,97490047,97491120
AC099934.2,12,69159437,69159506
Gm10916,14,50769248,50769730
Gm23557,X,93573731,93573868
Gm44382,8,90790826,90790947
Gm10750,2,149015732,149017237
Gm23035,6,93793772,93793877
Gm26233,6,18449271,18449340
Armc4,18,7088233,7297901
Gm22631,7,59781780,59781873
Gm21863,12,19954505,19954840
Gm25423,7,116691379,116691485
Gm27731,10,45537244,45537350
Snord22,19,8725866,8725991
Plekhg3,12,76533560,76579039
Gm27597,11,98029413,98029492
Gm23569,2,10492620,10492739
n-R5s8,X,71131237,71131354
Ablim3,18,61799395,61911852
Gm22136,3,153621702,153621969
Mir7671,11,53763597,53763654
Gm3618,14,6314876,6343678
Gm25610,12,12013623,12013751
Gm22669,7,114936545,114936862
Gm24461,2,80558685,80558787
Gm26176,7,73645985,73646089
Gm25284,5,150547313,150547453
Gm24557,1,63161855,63161943
Gm23027,15,76036459,76036616
Snord80,1,161037604,161037680
Gm23132,11,77658576,77658707
Gm25972,2,84150055,84150155
Gm25038,16,78423730,78423859
Dcaf4,12,83520466,83541988
Gm25004,4,95524044,95524204
Gm23530,15,47800673,47800809
Mir8101,11,102230040,102230150
Gm23613,X,36776619,36776705
Gm23022,5,40405750,40405929
Gm23911,7,58005205,58005338
Gm25211,5,86916216,86916322
Dio2,12,90724554,90738438
Gm23892,10,14984670,14984799
Gm24889,10,38179453,38179584
Fbxo34,14,47472561,47531962
Gm25773,3,26626185,26626311
Gm26167,10,25281600,25281852
Mir466n,2,10513741,10513834
n-R5s100,8,123538786,123538904
Gm22426,1,105574687,105574782
Gm23500,3,63770212,63770309
Celf4,18,25477632,25753983
Gm23459,14,106261123,106261253
Nepn,10,52391608,52404604
Gm24755,16,60369054,60369163
Gm27717,16,41066426,41066576
Gm25958,15,40186029,40186099
Gm23216,1,45685456,45685562
Gm25440,18,49581696,49581849
Gm22789,11,12692813,12692942
Gm26287,1,59704258,59704338
Mir6389,7,57581061,57581162
Mir5615-1,10,81104614,81104673
Gm22313,2,97237818,97237946
CAAA01205117.1,GL456385.1,32719,32818
Ptp4a3,15,73723145,73758766
Mir7k,5,147283189,147283298
Gm24338,9,101222952,101223078
Mir30d,15,68341208,68341289
Gm26015,12,65405846,65405970
Gm24651,16,47506319,47506425
Pola2,19,5940543,5964206
Snord45c,3,153912125,153912204
n-R5s105,8,123547265,123547383
Gm22673,12,59672990,59673120
Gm24545,1,59626580,59626664
Gm26477,12,90981225,90981547
Gm44453,9,32067171,32067296
Gm25332,X,92882451,92882555
Gm22803,10,62919559,62919841
Gm23901,X,162850158,162850264
Fam13b,18,34442352,34506823
Mir466e,2,10479088,10479171
Adcy4,14,55769058,55784042
Cdk13,13,17715962,17805097
4930408O17Rik,12,104865330,104871524
Nipbl,15,8291225,8444463
Stip1,19,7020696,7040026
Gnrh1,14,67745229,67749435
Cyp2d12,15,82555108,82559413
3110021N24Rik,4,108719649,108781904
Ccdc65,15,98708207,98723326
Incenp,19,9872297,9899533
Fam49a,12,12262139,12376359
Ccdc188,16,18218170,18219313
Nudt14,12,112934733,112942118
Stx7,10,24149317,24188959
Phf7,14,31237696,31251218
A230046K03Rik,10,83543941,83596469
