Gene name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
ARL6,3,97764521,97801242
CAPN8,1,223538007,223665734
RP11-46H11.3,12,132911470,132914732
ZSCAN25,7,99616946,99632407
MPZL2,11,118253403,118264536
CBY3,5,179678583,179680974
ZDHHC16,10,97446131,97457370
AC115617.2,X,48775993,48776970
RP11-341A11.3,9,40358454,40358682
RP11-109D20.1,15,45041716,45058707
CTB-79E8.4,5,172609094,172609444
LINC01944,5,172557392,172559014
GNAS,20,58839718,58911192
CNN2P2,9,40346144,40347052
RP4-806M20.3,20,58833809,58836529
CTSLP4,10,50705380,50708906
HSPE1P18,11,118208932,118209211
RP11-24M17.6,15,75759501,75762405
UBTD2,5,172209640,172284071
RP11-88E10.5,13,112686769,112689815
MRPL45,CHR_HSCHR17_7_CTG4,38097522,38123634
ATP11AUN,13,112647044,112684497
RPS20P23,8,100776512,100776865
NLRP2,19,54953130,55001142
SERHL2,22,42553617,42574382
LUADT1,6,147158925,147180992
RP11-317N8.5,14,35819224,35826765
NUTF2P2,14,35819837,35820220
RP11-116N8.2,14,35947556,35950044
UGT2B11,4,69199951,69214731
STXBP5-AS1,6,146841901,147204614
RP11-497D6.3,6,146859181,146863081
RP13-644M16.4,4,69181660,69182372
RP11-321N4.4,6,85498441,85499058
IGLVIVOR22-1,22,25437306,25437823
CTA-246H3.12,22,25434324,25435070
HIST2H2BA,1,121108210,121117257
RP13-644M16.2,4,69144734,69147671
CTD-2026K11.1,15,75676227,75677162
NUTM2HP,10,50676743,50686326
DUSP21,X,44844004,44844888
OR6C4,12,55551199,55552244
CTC-575C13.3,19,20330121,20331517
BEND3P1,10,50655967,50660472
RPSAP61,X,44741087,44741964
CSPG4,15,75674322,75712848
RP11-28H5.2,15,80693216,80693707
NT5E,6,85449584,85495791
ACER3,11,76860867,77026797
RP13-644M16.3,4,69131351,69134814
PRAMEF15,1,13315581,13322598
CAPN12,19,38730187,38769904
BNIP3P19,19,20323992,20324568
HLA-DRB4,CHR_HSCHR6_MHC_SSTO_CTG1,32542598,32557561
GPR182,12,56994446,56998441
AC093732.1,2,47035279,47040524
CTC-550B14.10,19,54948864,54948993
XYLT2,17,50346092,50363138
GUK1,1,228139962,228148984
TCTN1,12,110614027,110649430
CTC-550B14.1,19,54973817,54974417
CTD-2587H24.5,19,55158939,55177540
TMPRSS4,11,118077012,118121890
CTA-246H3.11,22,25349543,25350322
CTA-246H3.8,22,25327252,25339975
DASS-397D15.5,CHR_HSCHR6_MHC_SSTO_CTG1,32523454,32523549
BOP1,8,144262102,144291370
SCX,8,144266560,144268481
CH17-118O6.4,1,121058948,121059353
RDH16,12,56951431,56959374
MFSD1P1,17,4301372,4302698
LL0XNC01-138C3.2,X,21841794,21841961
TEX40,11,64300391,64304770
CTD-2587H24.1,19,55119250,55120383
YY2,X,21855987,21858727
DASS-397D15.4,CHR_HSCHR6_MHC_SSTO_CTG1,32492462,32492557
TNFRSF10A,8,23190452,23225126
CAV1,7,116524785,116561184
PTPRH,19,55181248,55209506
SDR9C7,12,56923154,56934405
TM9SF4,20,32109506,32167258
AC092664.1,2,110184054,110185179
RP5-836N17.4,20,32116171,32116629
RP11-149I9.2,17,81135771,81136256
OR6C75,12,55365111,55366049
C12orf29,12,88033846,88050160
CTD-2555A7.2,16,89046172,89052965
SYT5,19,55171199,55180441
RP11-27G13.5,4,155385352,155385492
RP11-27G13.4,4,155383107,155384102
VARS,6,31777518,31795953
TMPRSS13,11,117900643,117929459
CTA-221G9.7,22,25212742,25213685
RP11-74M13.6,12,56840973,56841273
TENM2,5,167284799,168264157
RP11-74M13.4,12,56822985,56874268
CTB-77H17.1,5,167965187,167967086
CTB-180C19.1,5,167287320,167294273
RP11-465N4.5,1,201995696,201996352
STK10,5,172042073,172188386
CRYBB3,22,25199850,25207363
RP11-855C21.1,5,22139247,22141468
PMCHL1,5,22142352,22152356
RP3-435K13.1,6,84966397,84966625
FDPSP5,X,44476027,44477422
ACKR3,2,236567787,236582358
RP11-397A15.4,1,246818076,246818180
CTD-2655K5.1,11,68122053,68130518
AGGF1P2,10,133640789,133642894
CDH12,5,21750673,22853622
DEFB132,20,257736,261096
GCNT1P2,5,22580225,22580819
OR6C74,12,55247198,55248302
OR10A7,12,55221025,55221975
FXYD6,11,117836976,117877486
RP11-170N16.1,4,122815771,122816117
OOSP2,11,60040275,60048044
RP11-371E8.4,14,93184973,93218586
PECR,2,215996329,216082955
RP3-395M20.8,CHR_HSCHR1_1_CTG3,2549920,2557031
SPIDR,8,47260575,47736306
RP11-893F2.5,17,50208972,50214459
RP11-672A2.3,11,76675079,76703195
RP11-893F2.15,17,50212933,50215357
RP11-216M21.8,9,40167392,40171329
RP11-813N20.2,4,69021656,69022340
ZHX2,8,122781394,122974512
SUSD3,9,93058688,93085138
MGST1,12,16347142,16609259
RP11-248E9.4,12,87753414,87753447
RP11-745A24.3,15,60409234,60409420
IL2,4,122451470,122456725
EGR1,5,138465490,138469315
RP11-248E9.1,12,87746567,87746683
MTATP6P19,X,102798396,102799560
MTCO3P19,X,102799563,102799883
HORMAD2-AS1,22,30008742,30080480
PPTC7,12,110533245,110583320
OR9R1P,12,55158847,55159723
MTCO1P19,X,102796251,102797093
CCDC181,1,169394870,169460669
RP4-800F24.1,1,169310665,169322479
IRGM,5,150846523,150900736
RP11-616L12.1,12,55009746,55014247
LYPLA1P3,6,71165076,71165770
LINC01947,5,166905222,166926370
RP11-672A2.5,11,76607853,76630427
NFAM1,22,42380410,42432395
RP11-672A2.6,11,76625462,76626834
RP11-67M9.1,5,166128498,166155439
RP11-830F9.7,16,88936779,88939651
RPL7P20,5,166028567,166029311
RP11-830F9.6,16,88939789,88951524
ITGB2,21,44885953,44931989
RP11-439E19.7,1,246690047,246691821
RIF1,2,151409883,151508013
RP11-439E19.9,1,246682108,246685075
LINC01151,8,122670385,122694106
RP11-379K22.2,15,80554609,80562944
RP11-96B2.1,8,122485515,122489815
RP11-697E23.1,5,20830166,20830947
PRAMEF35P,1,13104403,13105689
MRPS36P3,8,122091480,122091609
RP11-398G24.2,8,121954640,122127184
RP9,7,33094797,33109401
RP11-3G20.2,8,121679126,121707631
GS1-259H13.2,7,99598066,99610813
GS1-259H13.13,7,99558695,99607810
LINC02143,5,164448422,164467402
OR51F2,11,4821386,4822414
RP11-195C7.1,1,176207648,176229330
RP11-512N4.2,10,50472814,50474246
CACNA1F,X,49205063,49233371
OR51F3P,11,4736178,4737078
OR51C4P,11,4718612,4719559
BAIAP2-AS1,17,81029130,81034881
NTAN1P2,8,86481754,86483002
OR51A6P,11,4889593,4890596
OR51A3P,11,4937371,4938294
HAS2-AS1,8,121639293,121644693
OR51T1,11,4881819,4882883
OR51A2,11,4954772,4955713
SLC6A8,X,153688099,153696593
OR51A8P,11,4832133,4833072
CTD-2158P22.4,5,119652523,119653000
RP11-1149M3.2,8,27838477,27840382
CNST,1,246566444,246668584
AP000892.4,11,117316362,117328038
CTB-32P11.1,5,164209631,164211892
RP11-524F11.1,17,17507351,17508308
LSM1P2,5,163887506,163887827
COMT,22,19941607,19969975
TSPAN31,12,57738013,57750211
PAFAH1B2,11,117144267,117176894
RP11-22M7.2,1,216072465,216086917
OR52I2,11,4586791,4587905
RP11-619A14.3,11,76210956,76216025
RP11-542A14.1,5,158424585,158452758
RP5-1111A8.3,1,215886582,215901464
RP11-383G10.5,1,205233821,205236867
MAPK6PS4,8,46972476,46974617
RP11-667F14.1,7,116209234,116211511
GINS4,8,41529206,41545046
KRT8P3,8,61578220,61579668
SFT2D2,1,168225938,168253025
WNT11,11,76186325,76210736
ANKRD36BP1,1,168245565,168247343
RP11-619A14.2,11,76190725,76195071
DENND4B,1,153929501,153946696
HCK,20,32052188,32101856
TXNDC15,5,134873803,134901525
SMYD3,1,245749342,246507312
NMBR,6,142058330,142088799
OPRM1,6,154010496,154246867
RP11-137J7.2,6,142088233,142089219
CDK4,12,57747727,57756013
RP11-137J7.3,6,142062717,142063053
RP11-123M6.2,14,100834432,100861026
RTL1,14,100880655,100884847
SLC17A8,12,100357079,100422059
SMNDC1,10,110290730,110304951
NT5C3A,7,33014114,33062797
MAOB,X,43766611,43882447
SPACA7,13,112376319,112434689
CAV2,7,116287380,116508541
AC007016.3,4,15492729,15492972
RP11-799M12.2,4,15563698,15564253
GJE1,6,142133090,142135151
COPG2,7,130506238,130668748
CTD-2561B21.3,17,80960766,80961713
CTD-2561B21.5,17,80966239,80971213
RP11-351O1.4,10,63358745,63359104
RP3-508I15.19,22,38734730,38738990
CTD-2561B21.4,17,80940418,80942033
RPL31P7,17,80602549,80602926
OR9A2,7,143026158,143027195
AGAP2-AS1,12,57726271,57728356
PRAMEF30P,1,12838125,12841357
GTPBP1,22,38705723,38738299
FKBP4P2,9,39631046,39632416
AP000357.4,22,24686923,24688087
JMJD1C,10,63167221,63521850
AGAP2,12,57723761,57742157
LL22NC03-N95F10.1,22,24691122,24696003
HNRNPCL1,1,12847408,12848725
AP000358.5,22,24703348,24703503
LINC01314,15,80195484,80252213
SDR42E1P1,9,39651901,39652377
ZBTB45P1,2,109986939,109988394
SNORD74,15,86173198,86173270
MIR921,1,166154743,166154798
MIR6892,7,143382686,143382800
MIR103B1,5,168560904,168560965
MIR516A2,19,53761133,53761222
RNU7-160P,14,103550345,103550406
RN7SL795P,18,70512727,70513008
MIR1233-2,15,34528290,34528371
MIR142,17,58331232,58331318
RNU6-927P,12,124901512,124901611
SNORA20,Y,16138248,16138379
SNORD115-3,15,25174927,25175008
RN7SL393P,2,158447166,158447461
MIR323A,14,101025732,101025817
MIR6085,15,62343029,62343138
MIR759,13,52810050,52810140
PART1_2,5,60488078,60488327
MIR200B,1,1167104,1167198
RNU6-863P,7,76087444,76087547
MIR1307,10,103394253,103394401
RNU2-21P,2,158935798,158935985
RNA5SP60,1,159178473,159178559
Y_RNA,CHR_HSCHR6_MHC_MCF_CTG1,31573052,31573153
MIR3663,10,117167678,117167774
PRPF31,CHR_HSCHR19LRC_PGF2_CTG3_1,54115536,54131896
RN7SKP121,11,127406028,127406332
MIR4540,9,36864254,36864308
RNU4-51P,2,60911303,60911442
MIR4717,16,2274620,2274691
RNU5E-9P,2,178142548,178142651
Y_RNA,4,153266909,153267010
RNY4P19,2,230058229,230058324
RNA5SP399,15,71858570,71858686
RN7SL20P,22,31757202,31757498
MIR4635,5,1062896,1062974
RNA5SP287,9,81885496,81885598
MIR548AB,3,103524033,103524116
RNU2-40P,4,65807240,65807435
MIR3199-1,22,27920525,27920612
MIR3667,22,49543393,49543466
RN7SL583P,1,88477828,88478114
SNORD115-34,15,25232387,25232468
MIR5702,2,226658710,226658793
SNORD116-2,15,25054210,25054304
Y_RNA,11,64296037,64296138
MIR6784,17,45114367,45114433
MIR378G,1,94745860,94745900
SNORD115-37,15,25237986,25238067
U4,1,155894281,155894386
AC012314.2,CHR_HSCHR19LRC_COX1_CTG3_1,54102906,54107026
MIR6738,1,155951273,155951336
MIR7854,16,81533902,81533966
U6,CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1,54899032,54899138
Y_RNA,7,69507510,69507622
RN7SKP85,8,98921233,98921550
RN7SL585P,13,94699223,94699502
RNU1-84P,11,66393449,66393612
RNU6-1211P,1,232700204,232700308
SNORA72,3,160696929,160697060
CNOT3,CHR_HSCHR19LRC_LRC_J_CTG3_1,54138182,54156191
Y_RNA,1,93027410,93027506
MIR4766,22,40813883,40813958
uc_338,13,72567213,72567380
RNA5SP489,21,25202207,25202315
RNU2-30P,1,52754322,52754462
RNA5SP158,4,38758791,38758892
RNA5SP170,4,166053187,166053287
RNY1P5,13,74289100,74289214
U7,16,68926894,68926957
RNA5SP392,15,40331537,40331648
MIR3116-2,1,62078789,62078856
RN7SL681P,4,87386883,87387174
RNU6-654P,11,109005517,109005623
Y_RNA,1,27255464,27255567
SMAD5-AS1_2,5,136133696,136133826
RN7SL672P,20,50557682,50557998
U6,4,48109353,48109410
RNU6ATAC6P,3,87910220,87910345
RNU6-1122P,2,182873841,182873947
SNORA71C,20,38429670,38429803
pRNA,GL000220.1,105287,105376
SNORD2,3,186784796,186784864
RNU6-635P,4,103924540,103924641
RN7SL126P,2,85567662,85567960
RN7SL301P,CHR_HSCHR17_10_CTG4,36110150,36110447
RNU6-417P,7,63011463,63011569
Y_RNA,1,180519016,180519119
SNORD74,10,87994618,87994695
Y_RNA,1,95125511,95125609
RNA5SP393,15,41851913,41852029
snoU13,8,101847256,101847360
RNU4-34P,17,29388560,29388683
MIR20B,X,134169809,134169877
U3,1,116278606,116278821
MIR5680,8,102125432,102125515
RNU2-63P,2,88016354,88016547
RN7SKP86,7,103484208,103484539
RNU6-686P,15,65229861,65229967
MIR4306,13,99643059,99643149
RNU6-1287P,15,56274530,56274636
RN7SL560P,9,128709780,128710043
RN7SL524P,10,103974515,103974814
Y_RNA,22,36440880,36440970
RNU6-358P,5,31820564,31820638
SNORA70,3,108574565,108574698
SNORA31,5,80306235,80306368
SNORD56,12,115852648,115852718
SCARNA4,1,155925958,155926085
MIR5571,22,22886267,22886379
RN7SL33P,17,2557753,2558094
RNU1-133P,2,200775584,200775750
RNU2-72P,10,60912765,60912927
TMC4,CHR_HSCHR19LRC_LRC_S_CTG3_1,54160649,54173691
Y_RNA,4,159064297,159064398
SNORD101,6,132815307,132815379
Y_RNA,5,31505684,31505788
MIR3911,9,127690687,127690795
Y_RNA,7,75353885,75353986
SNORA75,16,23441841,23441921
RNU6-1144P,6,108292766,108292869
MIR6774,16,85918347,85918416
RNU6-98P,X,132580117,132580223
MIR3622B,8,27701673,27701767
Y_RNA,12,50939927,50940026
SNORA68,13,72460519,72460601
MIR4466,6,156779678,156779731
RN7SL63P,10,30555601,30555904
RNU6-978P,15,19883614,19883716
RNA5SP511,X,103850797,103850911
RN7SL854P,1,65761058,65761352
ZNRD1-AS1_2,CHR_HSCHR6_MHC_SSTO_CTG1,30048502,30048577
uc_338,1,88520000,88520170
Y_RNA,2,128350829,128350927
RNU6-1149P,21,42417497,42417593
MIR3166,11,88176502,88176593
SNORD114-4,14,100954374,100954448
Y_RNA,11,93719603,93719715
SNORA48,2,148260574,148260708
MIR6767,16,2445392,2445457
MIR449A,5,55170532,55170622
RNU6-613P,2,229894346,229894453
SNORA2,1,84277321,84277457
RNU1-85P,17,58679527,58679690
MIR411,14,101023325,101023420
SNORA26,1,156192063,156192203
SNORD115-30,15,25225203,25225284
RN7SL559P,1,28031884,28032180
RNU6-715P,2,147495438,147495540
MIR4788,3,134437827,134437906
RNA5SP159,4,39936753,39936855
RNU6-725P,1,238325687,238325788
RNU6-1175P,11,70075363,70075469
RNA5SP220,6,140158591,140158694
5S_rRNA,1,143439605,143439714
RNU7-25P,18,3093568,3093629
RN7SKP132,10,27783846,27784053
SNORA18,5,79220942,79221073
VIS1,2,144705217,144705419
MIR4707,14,22956950,22957029
RNU6-707P,X,48153980,48154074
RNU6-1021P,18,14531676,14531782
MIR6761,12,111799834,111799905
SNORA67,17,7577955,7578091
ST7-OT3_1,7,117184126,117184199
RNU6-667P,15,79817349,79817450
U3,X,122840426,122840645
Y_RNA,X,107202577,107202683
SNORD115-20,15,25206262,25206343
Y_RNA,6,128761717,128761808
SCG5,CHR_HSCHR15_4_CTG8,32721966,32777405
U6,CHR_HSCHR17_1_CTG1,90796,90899
RN7SKP99,14,57837354,57837660
SNORD114-14,14,100972103,100972177
AC006449.1,CHR_HSCHR17_7_CTG4,38528620,38528985
RN7SL700P,13,47458941,47459234
RNU6-917P,20,1529056,1529159
TCL6_3,14,95670441,95670577
RNU6-958P,2,43408307,43408412
RNU6-712P,3,90184634,90184733
Y_RNA,X,123857062,123857163
RNU6-798P,9,97192923,97193025
Metazoa_SRP,8,69851148,69851436
SNORD19,3,52691378,52691453
RNU6-397P,8,14487776,14487879
RNU1-45P,4,178116721,178116861
RNA5SP61,1,162338643,162338742
RNU1-67P,X,119423742,119423905
Y_RNA,20,45004348,45004454
Y_RNA,CHR_HSCHR6_MHC_SSTO_CTG1,30728556,30728666
SNORA2B,12,48667457,48667593
Metazoa_SRP,22,18524620,18524935
U6,CHR_HSCHR11_1_CTG5,7899815,7899912
SNORD113,14,100998467,100998541
RNU6-588P,5,149606637,149606741
RNU6-838P,4,48106081,48106188
RNU6-774P,4,84233657,84233763
MIR6083,3,124374332,124374437
MIR6133,7,133290881,133290988
RN7SKP137,4,121061172,121061478
RN7SL634P,14,104013642,104013933
MIR1324,3,75630763,75630858
RNU7-151P,4,102837047,102837099
RN7SKP7,13,96949249,96949533
RNU6-1304P,1,225741275,225741380
MIR548AD,2,35471405,35471486
Metazoa_SRP,8,54130582,54130860
SNORD23,18,21450653,21450756
Y_RNA,2,140992543,140992659
Y_RNA,3,193624189,193624301
RNU6-409P,22,50691260,50691363
RN7SL503P,1,35292196,35292498
RNU6-755P,1,164980035,164980137
RNU6-1292P,11,85509938,85510044
SNORA75,12,9286673,9286822
MIR3935,16,56245520,56245623
MIR509-3,X,147259652,147259726
RNU6-878P,11,2321718,2321827
MIR5708,8,80241389,80241473
RNA5SP487,20,56205052,56205173
Metazoa_SRP,2,47383160,47383421
RNA5SP280,9,27198287,27198401
MIR1275,6,33999972,34000051
RNU7-176P,2,10815485,10815546
MIR6881,15,74411357,74411432
MIR3670-1,16,14907717,14907781
MIR4637,5,14825929,14826012
RNU6-1244P,10,32394558,32394665
RNVU1-15,1,144412576,144412740
RN7SKP196,10,58869184,58869528
MIR4539,14,105857513,105857572
RNU6-848P,2,130622838,130622944
MIR5700,12,94561789,94561859
RNA5SP116,2,208054161,208054258
Metazoa_SRP,17,45526466,45526746
RNU7-116P,14,63736444,63736505
MIR3199-2,22,27920526,27920611
MIR3173,14,95137919,95137986
SNORD48,6,31835263,31835326
RN7SL62P,1,52714399,52714695
MIR136,14,100884702,100884783
OSCAR,CHR_HSCHR19LRC_LRC_I_CTG3_1,54094681,54102740
MIR548AK,10,12130760,12130816
AC018816.1,3,4750333,4750685
MIR4671,1,234306467,234306539
Y_RNA,17,62036833,62036945
RNU6-1114P,6,16205014,16205120
RNA5SP499,X,9133828,9133946
MIR1273G,1,52940314,52940413
MIR214,1,172138798,172138907
Metazoa_SRP,4,56810422,56810681
Y_RNA,11,2372638,2372750
RFPL3-AS1_1,22,32188400,32188487
MIR6079,1,43838622,43838683
RN7SL615P,20,41290280,41290577
RNU4ATAC6P,10,28652630,28652755
MIR4781,1,54054079,54054154
RN7SL627P,17,18840618,18840920
SNORA78,16,1965184,1965310
RNU6-231P,15,85821855,85821957
RNU6-703P,8,98048856,98048962
RNA5SP250,7,152592973,152593091
RN7SL391P,12,6344554,6344837
Y_RNA,19,36203347,36203459
RNU6-403P,1,221837334,221837437
RNU6-1064P,9,107797744,107797847
RNU6ATAC9P,14,54859215,54859330
TFPT,CHR_HSCHR19LRC_LRC_J_CTG3_1,54107066,54115801
Y_RNA,X,118569405,118569515
SNORA70,1,202527310,202527427
Y_RNA,20,35853252,35853364
Y_RNA,15,30355436,30355540
RNU6-785P,9,138259595,138259698
RNY3P11,6,109305494,109305595
RN7SL738P,3,196399911,196400207
U6,20,35769785,35769867
RNU6-147P,20,49972106,49972212
RNU6-14P,9,15776181,15776286
Y_RNA,17,49416744,49416850
MIR3918,6,158764661,158764753
RNU6-281P,3,70808350,70808452
RDH13,CHR_HSCHR19LRC_LRC_S_CTG3_1,55052029,55070922
SNORA48,12,56861375,56861508
RNU4-48P,2,127472234,127472415
Y_RNA,1,23370254,23370346
MIR513B,X,147199044,147199127
SNORD115-27,15,25220497,25220578
Y_RNA,3,101628310,101628406
hsa-mir-550a-2,7,32732981,32733077
RN7SKP250,12,109662863,109663183
MIR4646,6,31701029,31701091
RNU6-1020P,9,125303920,125304026
SNORA51,1,92846059,92846182
MIR5705,4,87300495,87300583
RNU6-190P,6,17619533,17619634
MIR4511,15,65719246,65719332
RN7SKP163,6,75654970,75655299
SNORA19,2,86364136,86364265
MIR6749,11,64902387,64902455
MIR1247,14,101560287,101560422
Metazoa_SRP,2,130517049,130517312
RNA5SP79,1,230820250,230820358
RNU2-58P,17,59129276,59129458
RNU6-1186P,15,98074667,98074763
RNA5SP418,16,35752826,35752942
RN7SKP200,2,206221315,206221634
RNU6-607P,8,37668898,37669005
SNORD15A,11,75400391,75400538
Y_RNA,X,16912215,16912317
TSEN34,CHR_HSCHR19LRC_PGF2_CTG3_1,54190866,54195141
RN7SL724P,3,139609669,139609939
RNU7-193P,10,43458065,43458129
RNU6-298P,17,30861843,30861938
SNORA10,16,1962334,1962466
RN7SL159P,9,129370170,129370461
MIR1206,8,128008898,128008956
SCARNA4,2,130929762,130929884
MIR548AQ,3,185767847,185767904
uc_338,5,91844022,91844116
RN7SL101P,4,28711198,28711476
SNORD117,CHR_HSCHR6_MHC_DBB_CTG1,31518553,31518628
RNU6-1067P,10,28667919,28668025
MIR4653,7,101159473,101159555
MIR329-2,14,101027100,101027183
MIR6499,5,151522087,151522148
MIRLET7G,3,52268278,52268361
MIR548AR,13,114244505,114244561
RNA5SP515,X,135428168,135428285
MIR608,10,100974985,100975084
SNORA71,20,38442036,38442169
RNU6-544P,11,80527960,80528066
RN7SL794P,9,99185587,99185866
RNU7-113P,2,20246326,20246387
MIR1233-1,15,34382069,34382150
RN7SL799P,X,64210691,64210988
NCR1,CHR_HSCHR19LRC_LRC_S_CTG3_1,54913845,54920784
uc_338,2,140234737,140234923
MIR6734,1,43364648,43364715
RN7SL567P,3,42676189,42676491
MIR29A,7,130876747,130876810
MIR8063,15,36972821,36972901
MIR4253,1,22863159,22863226
RNU2-2P,11,62841619,62841809
RNU4-23P,11,122927034,122927173
MIR3659,1,38089231,38089329
RNU6-840P,17,35093909,35093973
Y_RNA,11,33171381,33171490
SNORD116-17,15,25083588,25083679
RNU6-261P,6,76446988,76447089
MIR649,22,21034176,21034272
Y_RNA,2,183022859,183022971
RNU6-181P,15,100560686,100560792
Y_RNA,2,232828653,232828751
RNU6-694P,9,4386410,4386556
SNORA11E,X,52063347,52063474
RN7SL73P,3,195553792,195554043
RNU6-144P,8,137105352,137105458
RN7SKP47,9,74799895,74800222
RNU6-1198P,7,73507208,73507274
RN7SL49P,13,45002150,45002447
RNA5SP129,3,37341649,37341766
MIR4471,8,100382763,100382845
MIR944,3,189829922,189830009
RNU6-351P,4,104974672,104974771
AP001052.1,21,43748365,43748468
RFPL3-AS1_2,22,32368497,32368567
MIR6885,19,6389638,6389703
RNY3P16,X,119456558,119456658
RNU6-317P,19,48793152,48793258
TFPT,CHR_HSCHR19LRC_PGF2_CTG3_1,54107066,54115801
MIR5190,18,13459947,13460026
AC001228.1,CHR_HSCHR11_1_CTG7,2871423,2871484
TFPT,CHR_HSCHR19LRC_COX2_CTG3_1,54107066,54115801
RNA5SP34,13,90135712,90135841
RN7SL388P,X,72198712,72199050
RNU6-965P,1,101728642,101728737
MIR8054,11,23419105,23419190
RNU7-84P,8,106729795,106729856
MIR5092,3,125151465,125151552
RNU6-989P,2,187270698,187270804
AP000349.1,CHR_HSCHR22_1_CTG7,23782283,23783958
RNU6ATAC22P,22,41722043,41722131
Y_RNA,1,39944890,39944998
RNU6-258P,17,20126388,20126488
RN7SKP80,22,42565048,42565330
HOTAIRM1_5,7,27099967,27100111
Metazoa_SRP,8,94655911,94656208
RN7SL461P,14,56824375,56824656
MIR1245A,2,188978092,188978161
RNU2-36P,9,86422938,86423128
RN7SL465P,6,38744086,38744386
Y_RNA,14,72022407,72022516
Y_RNA,11,108229503,108229604
RN7SL174P,5,119306343,119306631
RNA5SP132,3,51694465,51694582
OSCAR,CHR_HSCHR19LRC_LRC_T_CTG3_1,54094681,54102740
SNORD115-1,15,25170723,25170804
RNA5SP80,1,231281414,231281524
MIR3154,9,128244947,128245030
RN7SL784P,17,4882975,4883316
SNORA25,10,92076242,92076365
Y_RNA,18,49871555,49871666
MIR219A1,6,33207835,33207944
Y_RNA,12,104851824,104851918
RNA5SP205,6,19438283,19438418
SNORA31,X,6061644,6061749
Metazoa_SRP,CHR_HSCHR17_1_CTG5,45523061,45523341
RNU6-1254P,7,66891188,66891291
RNU1-39P,5,178884715,178884879
TCL6_2,14,95662480,95662598
RNA5S16,1,228643809,228643927
RN7SL654P,1,184335658,184335949
MIR4291,9,93819357,93819421
MIR124-3,20,63178500,63178586
RNU6-38P,13,75109587,75109693
U6,16,72376704,72376760
U6,CHR_HSCHR6_MHC_QBL_CTG1,28915634,28915733
CDKN2B-AS,9,22117665,22117814
RNU6-210P,1,93010257,93010351
RNA5SP372,12,109059986,109060100
RNA5SP275,8,107884494,107884611
RN7SKP278,10,108940969,108941310
MIR802,21,35720715,35720808
MIR99B,19,51692612,51692681
MIR4777,2,231362708,231362793
SNORD109A,15,25041974,25042040
RNA5SP437,17,31963805,31963933
Metazoa_SRP,15,62244330,62244595
RNU6-1235P,15,21307749,21307855
RN7SL215P,3,194145674,194145971
MIR3179-4,16,18494493,18494576
RN7SL342P,18,59972914,59973207
U1,1,149636766,149636929
Y_RNA,1,247997000,247997096
U8,15,30581184,30581316
RNU6-731P,1,6540854,6540964
RMRP,9,35657754,35658017
RNU7-181P,8,130004528,130004601
RNU6-70P,13,27343687,27343746
SNORD99,1,28578749,28578822
Metazoa_SRP,3,59584169,59584445
RNU5F-6P,1,164351273,164351388
RNU1-105P,6,47823390,47823550
RN7SL612P,1,156985755,156986049
SNORD113-4,14,100936491,100936565
U6,CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1,54868122,54868228
RNA5SP232,7,71913738,71913856
SNORD58B,18,49491664,49491729
RN7SL515P,13,41807677,41807973
RN7SKP257,14,36593839,36594147
